slice,run_id,status,selected_setups,output_dir,trade_count,resolved_trade_count,unresolved_trade_count,win_rate,mean_return,median_return,promotion_decision,validation_status,robustness_status,notes
baseline_short_reclaim,2026-03-12_to_2026-03-12_run_003,FAILED,22,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-12_to_2026-03-12_run_003,,,,,,,,,,"ReplayContractError: Raw feed not found for Phase 3 orchestration. Checked explicit raw_path, manifest input_feed_paths (<none>), and fallback /tmp/short_reclaim_context_replay_experiment_2026-05-03/artifacts/baseline_short_reclaim/2026-03-12_to_2026-03-12_run_003/raw.csv."
ctx_spike_count_ge2,2026-03-12_to_2026-03-12_run_003,FAILED,6,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-12_to_2026-03-12_run_003,,,,,,,,,,"ReplayContractError: Raw feed not found for Phase 3 orchestration. Checked explicit raw_path, manifest input_feed_paths (<none>), and fallback /tmp/short_reclaim_context_replay_experiment_2026-05-03/artifacts/ctx_spike_count_ge2/2026-03-12_to_2026-03-12_run_003/raw.csv."
high_stress_all3_ge_median,2026-03-12_to_2026-03-12_run_003,FAILED,7,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-12_to_2026-03-12_run_003,,,,,,,,,,"ReplayContractError: Raw feed not found for Phase 3 orchestration. Checked explicit raw_path, manifest input_feed_paths (<none>), and fallback /tmp/short_reclaim_context_replay_experiment_2026-05-03/artifacts/high_stress_all3_ge_median/2026-03-12_to_2026-03-12_run_003/raw.csv."
absorption_low_le1,2026-03-12_to_2026-03-12_run_003,FAILED,16,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-12_to_2026-03-12_run_003,,,,,,,,,,"ReplayContractError: Raw feed not found for Phase 3 orchestration. Checked explicit raw_path, manifest input_feed_paths (<none>), and fallback /tmp/short_reclaim_context_replay_experiment_2026-05-03/artifacts/absorption_low_le1/2026-03-12_to_2026-03-12_run_003/raw.csv."
baseline_short_reclaim,2026-03-13_to_2026-03-13_run_002,COMPLETED,18,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-13_to_2026-03-13_run_002,18,18,0,0.3333333333333333,-0.000142,-0.000305,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-13_to_2026-03-13_run_002,COMPLETED,4,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-13_to_2026-03-13_run_002,4,4,0,0.25,-0.000896,-0.000620,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-13_to_2026-03-13_run_002,COMPLETED,3,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-13_to_2026-03-13_run_002,3,3,0,0.0,-0.001139,-0.000574,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-13_to_2026-03-13_run_002,COMPLETED,14,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-13_to_2026-03-13_run_002,14,14,0,0.35714285714285715,0.000074,-0.000305,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-14_to_2026-03-14_run_001,COMPLETED,47,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-14_to_2026-03-14_run_001,47,47,0,0.2765957446808511,-0.000093,-0.000126,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-14_to_2026-03-14_run_001,13,13,0,0.46153846153846156,0.000068,-0.000018,REJECT,FAIL,FRAGILE,
high_stress_all3_ge_median,2026-03-14_to_2026-03-14_run_001,COMPLETED,15,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-14_to_2026-03-14_run_001,15,15,0,0.3333333333333333,-0.000009,-0.000113,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-14_to_2026-03-14_run_001,COMPLETED,34,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-14_to_2026-03-14_run_001,34,34,0,0.20588235294117646,-0.000155,-0.000129,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-14_to_2026-03-14_run_002,COMPLETED,47,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-14_to_2026-03-14_run_002,47,47,0,0.2765957446808511,-0.000093,-0.000126,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_002,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-14_to_2026-03-14_run_002,13,13,0,0.46153846153846156,0.000068,-0.000018,REJECT,FAIL,FRAGILE,
high_stress_all3_ge_median,2026-03-14_to_2026-03-14_run_002,COMPLETED,15,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-14_to_2026-03-14_run_002,15,15,0,0.3333333333333333,-0.000009,-0.000113,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-14_to_2026-03-14_run_002,COMPLETED,34,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-14_to_2026-03-14_run_002,34,34,0,0.20588235294117646,-0.000155,-0.000129,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-14_to_2026-03-14_run_003,COMPLETED,47,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-14_to_2026-03-14_run_003,47,47,0,0.2765957446808511,-0.000093,-0.000126,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_003,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-14_to_2026-03-14_run_003,13,13,0,0.46153846153846156,0.000068,-0.000018,REJECT,FAIL,FRAGILE,
high_stress_all3_ge_median,2026-03-14_to_2026-03-14_run_003,COMPLETED,15,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-14_to_2026-03-14_run_003,15,15,0,0.3333333333333333,-0.000009,-0.000113,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-14_to_2026-03-14_run_003,COMPLETED,34,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-14_to_2026-03-14_run_003,34,34,0,0.20588235294117646,-0.000155,-0.000129,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-14_to_2026-03-14_run_004,COMPLETED,47,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-14_to_2026-03-14_run_004,47,47,0,0.2765957446808511,-0.000093,-0.000126,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_004,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-14_to_2026-03-14_run_004,13,13,0,0.46153846153846156,0.000068,-0.000018,REJECT,FAIL,FRAGILE,
high_stress_all3_ge_median,2026-03-14_to_2026-03-14_run_004,COMPLETED,15,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-14_to_2026-03-14_run_004,15,15,0,0.3333333333333333,-0.000009,-0.000113,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-14_to_2026-03-14_run_004,COMPLETED,34,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-14_to_2026-03-14_run_004,34,34,0,0.20588235294117646,-0.000155,-0.000129,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-15_to_2026-03-15_run_001,COMPLETED,37,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-15_to_2026-03-15_run_001,37,37,0,0.5675675675675675,0.000079,0.000057,REJECT,FAIL,FRAGILE,
ctx_spike_count_ge2,2026-03-15_to_2026-03-15_run_001,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-15_to_2026-03-15_run_001,13,13,0,0.6923076923076923,0.000177,0.000057,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-15_to_2026-03-15_run_001,COMPLETED,11,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-15_to_2026-03-15_run_001,11,11,0,0.5454545454545454,-0.000010,0.000010,REJECT,FAIL,FRAGILE,
absorption_low_le1,2026-03-15_to_2026-03-15_run_001,COMPLETED,24,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-15_to_2026-03-15_run_001,24,24,0,0.5,0.000027,0.000021,REJECT,FAIL,FRAGILE,
baseline_short_reclaim,2026-03-16_to_2026-03-16_run_001,COMPLETED,35,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-16_to_2026-03-16_run_001,35,35,0,0.4,-0.000214,-0.000308,REJECT,FAIL,FRAGILE,
ctx_spike_count_ge2,2026-03-16_to_2026-03-16_run_001,COMPLETED,7,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-16_to_2026-03-16_run_001,7,7,0,0.14285714285714285,-0.001401,-0.001770,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-16_to_2026-03-16_run_001,COMPLETED,7,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-16_to_2026-03-16_run_001,7,7,0,0.14285714285714285,-0.001401,-0.001770,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-16_to_2026-03-16_run_001,COMPLETED,28,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-16_to_2026-03-16_run_001,28,28,0,0.4642857142857143,0.000082,-0.000107,REJECT,FAIL,FRAGILE,
baseline_short_reclaim,2026-03-17_to_2026-03-17_run_001,COMPLETED,9,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-17_to_2026-03-17_run_001,9,9,0,0.7777777777777778,0.000334,0.000674,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-17_to_2026-03-17_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-17_to_2026-03-17_run_001,COMPLETED,3,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-17_to_2026-03-17_run_001,3,3,0,0.6666666666666666,-0.000007,0.000520,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-17_to_2026-03-17_run_001,COMPLETED,9,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-17_to_2026-03-17_run_001,9,9,0,0.7777777777777778,0.000334,0.000674,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-18_to_2026-03-18_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
ctx_spike_count_ge2,2026-03-18_to_2026-03-18_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-18_to_2026-03-18_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-18_to_2026-03-18_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
baseline_short_reclaim,2026-03-19_to_2026-03-19_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-19_to_2026-03-19_run_001,1,1,0,0.0,-0.000375,-0.000375,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-19_to_2026-03-19_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-19_to_2026-03-19_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-19_to_2026-03-19_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-19_to_2026-03-19_run_001,1,1,0,0.0,-0.000375,-0.000375,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-20_to_2026-03-20_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
ctx_spike_count_ge2,2026-03-20_to_2026-03-20_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-20_to_2026-03-20_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-20_to_2026-03-20_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
baseline_short_reclaim,2026-03-21_to_2026-03-21_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-21_to_2026-03-21_run_001,1,1,0,0.0,-0.000284,-0.000284,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-21_to_2026-03-21_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-21_to_2026-03-21_run_001,1,1,0,0.0,-0.000284,-0.000284,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-21_to_2026-03-21_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-21_to_2026-03-21_run_001,1,1,0,0.0,-0.000284,-0.000284,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-21_to_2026-03-21_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
baseline_short_reclaim,2026-03-22_to_2026-03-22_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-22_to_2026-03-22_run_001,1,1,0,1.0,0.000690,0.000690,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-22_to_2026-03-22_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-22_to_2026-03-22_run_001,1,1,0,1.0,0.000690,0.000690,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-22_to_2026-03-22_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-22_to_2026-03-22_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
baseline_short_reclaim,2026-03-23_to_2026-03-23_run_001,COMPLETED,2,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-23_to_2026-03-23_run_001,2,2,0,1.0,0.000598,0.000598,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-23_to_2026-03-23_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-23_to_2026-03-23_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-23_to_2026-03-23_run_001,1,1,0,1.0,0.000376,0.000376,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-23_to_2026-03-23_run_001,COMPLETED,2,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-23_to_2026-03-23_run_001,2,2,0,1.0,0.000598,0.000598,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-24_to_2026-03-24_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-24_to_2026-03-24_run_001,1,1,0,0.0,-0.000543,-0.000543,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-24_to_2026-03-24_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-24_to_2026-03-24_run_001,1,1,0,0.0,-0.000543,-0.000543,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-24_to_2026-03-24_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-24_to_2026-03-24_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
baseline_short_reclaim,2026-03-25_to_2026-03-25_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-25_to_2026-03-25_run_001,1,1,0,0.0,-0.000732,-0.000732,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-25_to_2026-03-25_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-25_to_2026-03-25_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-25_to_2026-03-25_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-25_to_2026-03-25_run_001,1,1,0,0.0,-0.000732,-0.000732,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-26_to_2026-03-26_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-26_to_2026-03-26_run_001,1,1,0,0.0,-0.000679,-0.000679,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-26_to_2026-03-26_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-26_to_2026-03-26_run_001,1,1,0,0.0,-0.000679,-0.000679,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-26_to_2026-03-26_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-26_to_2026-03-26_run_001,1,1,0,0.0,-0.000679,-0.000679,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-26_to_2026-03-26_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
baseline_short_reclaim,2026-03-27_to_2026-03-27_run_001,COMPLETED,2,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-27_to_2026-03-27_run_001,2,2,0,0.0,-0.000335,-0.000335,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-27_to_2026-03-27_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-27_to_2026-03-27_run_001,1,1,0,0.0,-0.000579,-0.000579,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-27_to_2026-03-27_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-27_to_2026-03-27_run_001,1,1,0,0.0,-0.000579,-0.000579,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-27_to_2026-03-27_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-27_to_2026-03-27_run_001,1,1,0,0.0,-0.000091,-0.000091,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-28_to_2026-03-28_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-28_to_2026-03-28_run_001,1,1,0,1.0,0.001091,0.001091,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-28_to_2026-03-28_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
high_stress_all3_ge_median,2026-03-28_to_2026-03-28_run_001,SKIPPED_NO_SETUPS,0,,,,,,,,,,,no selected setups for slice
absorption_low_le1,2026-03-28_to_2026-03-28_run_001,COMPLETED,1,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-28_to_2026-03-28_run_001,1,1,0,1.0,0.001091,0.001091,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-30_to_2026-03-30_run_001,COMPLETED,12,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-30_to_2026-03-30_run_001,12,12,0,0.25,-0.000188,-0.000361,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-30_to_2026-03-30_run_001,COMPLETED,6,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-30_to_2026-03-30_run_001,6,6,0,0.3333333333333333,0.000341,-0.000204,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-30_to_2026-03-30_run_001,COMPLETED,5,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-30_to_2026-03-30_run_001,5,5,0,0.4,0.000425,-0.000329,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-30_to_2026-03-30_run_001,COMPLETED,6,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-30_to_2026-03-30_run_001,6,6,0,0.16666666666666666,-0.000716,-0.000776,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-03-31_to_2026-03-31_run_001,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-03-31_to_2026-03-31_run_001,13,13,0,0.5384615384615384,0.000051,0.000183,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-03-31_to_2026-03-31_run_001,COMPLETED,7,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-03-31_to_2026-03-31_run_001,7,7,0,0.5714285714285714,-0.000024,0.000183,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-03-31_to_2026-03-31_run_001,COMPLETED,8,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-03-31_to_2026-03-31_run_001,8,8,0,0.5,-0.000043,-0.000026,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-03-31_to_2026-03-31_run_001,COMPLETED,6,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-03-31_to_2026-03-31_run_001,6,6,0,0.5,0.000139,0.000099,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-04-01_to_2026-04-01_run_001,COMPLETED,16,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-04-01_to_2026-04-01_run_001,16,16,0,0.625,0.000163,0.000261,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-04-01_to_2026-04-01_run_001,COMPLETED,7,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-04-01_to_2026-04-01_run_001,7,7,0,0.7142857142857143,0.000407,0.000568,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-04-01_to_2026-04-01_run_001,COMPLETED,5,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-04-01_to_2026-04-01_run_001,5,5,0,0.6,0.000116,0.000378,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-04-01_to_2026-04-01_run_001,COMPLETED,9,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-04-01_to_2026-04-01_run_001,9,9,0,0.5555555555555556,-0.000027,0.000196,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-04-02_to_2026-04-02_run_001,COMPLETED,13,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-04-02_to_2026-04-02_run_001,13,13,0,0.6923076923076923,0.000279,0.000140,REJECT,FAIL,UNSTABLE,
ctx_spike_count_ge2,2026-04-02_to_2026-04-02_run_001,COMPLETED,5,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/ctx_spike_count_ge2/2026-04-02_to_2026-04-02_run_001,5,5,0,0.6,0.000463,0.000279,REJECT,FAIL,UNSTABLE,
high_stress_all3_ge_median,2026-04-02_to_2026-04-02_run_001,COMPLETED,4,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/high_stress_all3_ge_median/2026-04-02_to_2026-04-02_run_001,4,4,0,0.75,0.000505,0.000559,REJECT,FAIL,UNSTABLE,
absorption_low_le1,2026-04-02_to_2026-04-02_run_001,COMPLETED,8,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/absorption_low_le1/2026-04-02_to_2026-04-02_run_001,8,8,0,0.75,0.000165,0.000119,REJECT,FAIL,UNSTABLE,
baseline_short_reclaim,2026-04-03_to_2026-04-03_run_001,COMPLETED,19,/tmp/short_reclaim_context_replay_experiment_2026-05-03/backtests/baseline_short_reclaim/2026-04-03_to_2026-04-03_run_001,19,19,0,0.42105263157894735,0.000028,-0.000034,REJECT,FAIL,FRAGILE,
